block_number,triad,target_image_pair,part,prime_word,target_word,type,relatedness,correct_response,image_path,correct_key
practice,1,apple-horse,priming,boff,apple,novel,novel,1,applehorse.png,A
practice,2,apple-horse,priming,nuppical,horse,novel,novel,3,applehorse.png,L
practice,2,apple-horse,priming,boff,horse,novel,novel,3,applehorse.png,L
practice,1,horse-apple,priming,nuppical,apple,novel,novel,3,horseapple.png,L
practice,1,apple-horse,priming,boff,apple,novel,novel,1,applehorse.png,A
practice,2,apple-horse,priming,nuppical,horse,novel,novel,3,applehorse.png,L
practice,2,apple-horse,priming,boff,horse,novel,novel,3,applehorse.png,L
practice,1,horse-apple,priming,nuppical,apple,novel,novel,3,horseapple.png,L
1,1,apple-horse,priming,foobly,apple,direct,related,1,applehorse.png,A
1,1,apple-horse,priming,mipp,apple,shared,related,1,applehorse.png,A
1,1,apple-horse,priming,dodish,apple,direct,unrelated,1,applehorse.png,A
1,1,apple-horse,priming,geck,apple,shared,unrelated,1,applehorse.png,A
1,1,apple-horse,priming,nuppical,apple,novel,novel,1,applehorse.png,A
1,1,apple-horse,priming,boff,apple,novel,novel,1,applehorse.png,A
1,2,apple-horse,priming,foobly,horse,direct,unrelated,3,applehorse.png,L
1,2,apple-horse,priming,mipp,horse,shared,unrelated,3,applehorse.png,L
1,2,apple-horse,priming,dodish,horse,direct,related,3,applehorse.png,L
1,2,apple-horse,priming,geck,horse,shared,related,3,applehorse.png,L
1,2,apple-horse,priming,nuppical,horse,novel,novel,3,applehorse.png,L
1,2,apple-horse,priming,boff,horse,novel,novel,3,applehorse.png,L
1,1,horse-apple,priming,foobly,apple,direct,related,3,horseapple.png,L
1,1,horse-apple,priming,mipp,apple,shared,related,3,horseapple.png,L
1,1,horse-apple,priming,dodish,apple,direct,unrelated,3,horseapple.png,L
1,1,horse-apple,priming,geck,apple,shared,unrelated,3,horseapple.png,L
1,1,horse-apple,priming,nuppical,apple,novel,novel,3,horseapple.png,L
1,1,horse-apple,priming,boff,apple,novel,novel,3,horseapple.png,L
1,2,horse-apple,priming,foobly,horse,direct,unrelated,1,horseapple.png,A
1,2,horse-apple,priming,mipp,horse,shared,unrelated,1,horseapple.png,A
1,2,horse-apple,priming,dodish,horse,direct,related,1,horseapple.png,A
1,2,horse-apple,priming,geck,horse,shared,related,1,horseapple.png,A
1,2,horse-apple,priming,nuppical,horse,novel,novel,1,horseapple.png,A
1,2,horse-apple,priming,boff,horse,novel,novel,1,horseapple.png,A
1,1,apple-horse,priming,foobly,apple,direct,related,1,applehorse.png,A
1,1,apple-horse,priming,mipp,apple,shared,related,1,applehorse.png,A
1,1,apple-horse,priming,dodish,apple,direct,unrelated,1,applehorse.png,A
1,1,apple-horse,priming,geck,apple,shared,unrelated,1,applehorse.png,A
1,1,apple-horse,priming,nuppical,apple,novel,novel,1,applehorse.png,A
1,1,apple-horse,priming,boff,apple,novel,novel,1,applehorse.png,A
1,2,apple-horse,priming,foobly,horse,direct,unrelated,3,applehorse.png,L
1,2,apple-horse,priming,mipp,horse,shared,unrelated,3,applehorse.png,L
1,2,apple-horse,priming,dodish,horse,direct,related,3,applehorse.png,L
1,2,apple-horse,priming,geck,horse,shared,related,3,applehorse.png,L
1,2,apple-horse,priming,nuppical,horse,novel,novel,3,applehorse.png,L
1,2,apple-horse,priming,boff,horse,novel,novel,3,applehorse.png,L
1,1,horse-apple,priming,foobly,apple,direct,related,3,horseapple.png,L
1,1,horse-apple,priming,mipp,apple,shared,related,3,horseapple.png,L
1,1,horse-apple,priming,dodish,apple,direct,unrelated,3,horseapple.png,L
1,1,horse-apple,priming,geck,apple,shared,unrelated,3,horseapple.png,L
1,1,horse-apple,priming,nuppical,apple,novel,novel,3,horseapple.png,L
1,1,horse-apple,priming,boff,apple,novel,novel,3,horseapple.png,L
1,2,horse-apple,priming,foobly,horse,direct,unrelated,1,horseapple.png,A
1,2,horse-apple,priming,mipp,horse,shared,unrelated,1,horseapple.png,A
1,2,horse-apple,priming,dodish,horse,direct,related,1,horseapple.png,A
1,2,horse-apple,priming,geck,horse,shared,related,1,horseapple.png,A
1,2,horse-apple,priming,nuppical,horse,novel,novel,1,horseapple.png,A
1,2,horse-apple,priming,boff,horse,novel,novel,1,horseapple.png,A
