Triad,Pair,Part,sentence,novel1,novel2,novel3
1,foobly apple,training,I went to Zimziland because I heard you can get a foobly apple there.,foobly,Zimziland,
1,foobly apple,training,My sister doesn't like to have a foobly apple.,foobly,,
1,foobly apple,training,Everybody I met in Zimziland would love to have a foobly apple.,foobly,Zimziland,
1,foobly apple,training,"As soon as I arrived, I noticed a foobly apple.",foobly,,
1,foobly apple,training,I would really love to have a foobly apple.,foobly,,
1,foobly apple,training,One lady offered me a foobly apple.,foobly,,
1,foobly apple,training,Maybe I would prefer a foobly apple.,foobly,,
1,foobly apple,training,I went to a place where it's easy to find a foobly apple.,foobly,,
1,foobly apple,training,The people I met there told me they saw a foobly apple that day.,foobly,,
1,foobly apple,training,"In the end, I decided I'd go looking for a foobly apple.",foobly,,
1,foobly mipp,training,I didn't find a foobly mipp.,foobly,mipp,
1,foobly mipp,training,My sister told me you can get a foobly mipp there.,foobly,mipp,
1,foobly mipp,training,My friend Sally said she saw a foobly mipp once.,foobly,mipp,
1,foobly mipp,training,There was a foobly mipp just a few steps from here.,foobly,mipp,
1,foobly mipp,training,It's absolutely amazing to get to see a foobly mipp in person.,foobly,mipp,
1,foobly mipp,training,I thought maybe I'd see a foobly mipp on the next day.,foobly,mipp,
1,foobly mipp,training,I also love to have a foobly mipp.,foobly,mipp,
1,foobly mipp,training,I imagined that I would find a foobly mipp in Zimziland.,foobly,mipp,Zimziland
1,foobly mipp,training,"On the second day, I saw a foobly mipp.",foobly,mipp,
1,foobly mipp,training,Sometimes I wish it were easier to get a foobly mipp.,foobly,mipp,
2,dodish horse,training,I would love to see a dodish horse.,dodish,,
2,dodish horse,training,I only found a dodish horse.,dodish,,
2,dodish horse,training,"She offered me a dodish horse, too.",dodish,,
2,dodish horse,training,I am not sure if I would like a dodish horse better.,dodish,,
2,dodish horse,training,You never know with a dodish horse.,dodish,,
2,dodish horse,training,I hadn't seen a dodish horse for hours.,dodish,,
2,dodish horse,training,"There is no doubt, a dodish horse is the best!",dodish,,
2,dodish horse,training,There are people who prefer a dodish horse.,dodish,,
2,dodish horse,training,"On the eleventh day of my trip, I found a dodish horse.",dodish,,
2,dodish horse,training,I have a picture of a dodish horse.,dodish,,
2,dodish geck,training,I would like to have a dodish geck.,dodish,geck,
2,dodish geck,training,"I stayed there for a couple of days, hoping I would find a dodish geck.",dodish,geck,
2,dodish geck,training,"At the end of day one, I was tired and just hoped to see a dodish geck.",dodish,geck,
2,dodish geck,training,I went out early to look for a dodish geck.,dodish,geck,
2,dodish geck,training,I wished that they at least would have a dodish geck.,dodish,geck,
2,dodish geck,training,They also said that they would really like to see a dodish geck.,dodish,geck,
2,dodish geck,training,Everybody would like to have a dodish geck.,dodish,geck,
2,dodish geck,training,I'm a dodish geck fan!,dodish,geck,
2,dodish geck,training,"In the end, I brought a dodish geck home.",dodish,geck,
2,dodish geck,training,I took a lot of photos of a dodish geck I saw.,dodish,geck,
